price_range,page,cicilan,product_name
2.650.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 221rb/bln,Dell Latitude E6230 - Core i5 Gen 3 - Ram 4gb - Hdd 320gb - 12in - Slim - Murah meriahhh
3.750.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 313rb/bln,Dell Latitude E5440 - i5 4200U - Ram 4gb - Hdd 320gb - 14in - Win7
3.325.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 277rb/bln,HP Elitebook 745 G2 - AMD A8 Pro - 4gb - 320gb - slim - mewahhh
3.300.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 275rb/bln,Laptop HP Probook 640 G1 - i5 Gen 4 - 4GB - 320GB - 14inch - Cuci gudang
2.700.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 225rb/bln,Laptop HP Elitebook 8470p Core i5 Gen 3
6.100.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 468rb/bln,Laptop Toshiba TECRA Z50 A Core i7 4600U 2 7 GHz Ram 8GB SSD 512GB With NVIDIA Graphics super mulus
5.612.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 411rb/bln,PROMO LAPTOP LENOVO V130-15IKB-INTEL CORE i3-6006U-RAM 4GB
4.936.200,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 454rb/bln,PROMO LAPTOP LENOVO IDEAPAD 330-15IKB-INTEL CORE i3-7100U-RAM 4GB
5.452.100,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 374rb/bln,PROMO LAPTOP LENOVO V110-14AST-AMD A9-9420-RAM 4GB-VGA RADEON 2GB
4.484.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 213rb/bln,DELL LATITUDE E6510 i5 RAM 4gb HDD 250gb DVD rw like new
2.550.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 708rb/bln,notebook dell pandora inspiron 14 7000series 
8.500.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 313rb/bln,CHUWI HeroBook Ram 4GB eMMC 64GB Intel Quadcore
3.750.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 225rb/bln,dell latitude 5430 intel core i5 ram 4gb hdd 320gb 
2.699.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 50rb/bln,Grosir - LCD LED 14.0 Laptop HP Compaq CQ43 HP430 430 CQ42 G42 CQ 43 CQ 42 431
604.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 379rb/bln,ASUS Zenbook UX305FA Laptop premium & mewah
4.550.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 47rb/bln,Terbaru - Team Elite 4GB DDR3L PC-1600 SODIMM Notebook Ram Low Voltage
486.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 417rb/bln,Terbaru - RAM DDR4 SODimm V-GeN RESCUE 4GB PC19200 2400Mhz Memory Laptop VGEN
566.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 750rb/bln,LENOVO THINKPAD X1 CARBON CORE i5 SSD RAM 128
5.000.000,https://www.bukalapak.com/c/komputer/laptop/,Cicilan mulai 792rb/bln,LAPTOP DELL LATITUDE E7250 CORE i7 5600U TOUCHSCREEN MULUS
